HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458087.67051,2017-11-30.1666546,bf,1.46,16.393,>16.393,99.990,0.405,0.213,V
2458087.72644,2017-11-30.2225931,br,2.21,16.527,>16.527,99.990,0.367,0.178,g
2458087.72765,2017-11-30.2238035,br,2.35,16.294,>16.294,99.990,0.896,0.221,g
2458087.72887,2017-11-30.2250189,br,2.28,16.318,>16.318,99.990,0.271,0.216,g
2458088.49433,2017-11-30.9905064,bn,1.77,16.649,>16.649,99.990,0.375,0.159,g
2458088.49554,2017-11-30.9917237,bn,1.71,16.596,>16.596,99.990,0.291,0.167,g
2458088.49675,2017-11-30.9929268,bn,1.81,16.661,>16.661,99.990,0.437,0.157,g
2458089.49305,2017-12-01.989275,bn,1.61,16.318,>16.318,99.990,0.283,0.216,g
2458090.50308,2017-12-02.9993432,bn,1.85,16.311,>16.311,99.990,0.222,0.217,g
2458090.50429,2017-12-03.0005561,bn,1.78,16.176,>16.176,99.990,0.616,0.246,g
2458090.50550,2017-12-03.0017631,bn,1.88,16.301,>16.301,99.990,0.668,0.219,g
2458090.56420,2017-12-03.0604704,bj,1.74,16.166,>16.166,99.990,0.477,0.248,g
2458090.56542,2017-12-03.0616912,bj,1.88,16.028,>16.028,99.990,0.623,0.282,g
2458090.56664,2017-12-03.0629089,bj,1.89,16.219,>16.219,99.990,0.100,0.236,g
2458091.43003,2017-12-03.9263374,bn,1.63,16.443,>16.443,99.990,0.228,0.192,g
2458091.43125,2017-12-03.9275549,bn,1.61,16.369,>16.369,99.990,0.625,0.206,g
2458091.43246,2017-12-03.9287585,bn,1.63,16.343,>16.343,99.990,0.513,0.211,g
2458091.66255,2017-12-04.1588623,bf,1.47,16.093,>16.093,99.990,-0.174,0.281,V
2458091.66381,2017-12-04.1601241,bf,1.45,15.870,>15.870,99.990,0.665,0.344,V
2458091.66508,2017-12-04.1613944,bf,1.54,15.861,>15.861,99.990,1.652,0.347,V
2458091.68501,2017-12-04.1813260,br,1.50,99.990,99.990,99.990,99.990,99.990,g
2458091.68622,2017-12-04.1825392,br,1.58,15.385,>15.385,99.990,-1.098,0.509,g
2458091.68744,2017-12-04.1837553,br,2.27,15.016,>15.016,99.990,1.260,0.716,g
2458094.85406,2017-12-07.3505233,bb,2.19,16.509,>16.509,99.990,0.867,0.191,V
2458094.85659,2017-12-07.3530511,bb,2.23,16.542,>16.542,99.990,0.874,0.185,V
2458095.42092,2017-12-07.9174142,bn,2.47,17.281,17.126,0.190,0.512,0.089,g
2458095.42335,2017-12-07.9198378,bn,2.41,17.191,16.931,0.172,0.613,0.097,g
2458096.45932,2017-12-08.9558678,bn,2.07,17.402,17.386,0.216,0.403,0.080,g
2458096.46053,2017-12-08.9570665,bn,2.04,17.347,17.228,0.196,0.466,0.084,g
2458096.46173,2017-12-08.9582748,bn,2.05,17.405,16.928,0.141,0.615,0.079,g
2458096.86905,2017-12-09.3656131,bb,1.73,17.157,16.718,0.146,0.788,0.105,V
2458096.87032,2017-12-09.3668791,bb,1.61,17.089,16.844,0.175,0.702,0.112,V
2458096.87157,2017-12-09.3681315,bb,1.64,17.162,17.089,0.205,0.560,0.105,V
2458097.46946,2017-12-09.9660473,bn,1.62,99.990,99.990,99.990,99.990,99.990,g
2458097.47066,2017-12-09.9672533,bn,1.66,17.537,17.328,0.181,0.425,0.070,g
2458099.47254,2017-12-11.9692290,bn,2.25,99.990,99.990,99.990,99.990,99.990,g
2458099.47374,2017-12-11.9704317,bn,2.20,17.794,16.728,0.082,0.740,0.055,g
2458099.47496,2017-12-11.9716523,bn,2.17,17.763,16.938,0.102,0.609,0.057,g
2458099.62875,2017-12-12.1254555,bf,1.42,16.839,>16.839,99.990,0.226,0.141,V
2458099.63002,2017-12-12.1267178,bf,1.42,17.114,>17.114,99.990,0.283,0.109,V
2458099.63128,2017-12-12.1279854,bf,1.39,17.243,>17.243,99.990,0.302,0.097,V
2458100.45504,2017-12-12.9517924,bn,1.48,17.901,17.316,0.128,0.430,0.050,g
2458100.46103,2017-12-12.9577769,bn,1.53,17.901,17.227,0.118,0.467,0.050,g
2458100.60614,2017-12-13.1028918,bj,1.74,16.701,>16.701,99.990,0.101,0.152,g
2458100.60736,2017-12-13.1041090,bj,1.56,16.408,>16.408,99.990,0.162,0.199,g
2458100.60857,2017-12-13.1053265,bj,1.73,16.362,>16.362,99.990,0.535,0.207,g
2458100.75188,2017-12-13.2486413,br,1.43,99.990,99.990,99.990,99.990,99.990,g
2458100.75310,2017-12-13.2498576,br,1.43,99.990,99.990,99.990,99.990,99.990,g
2458100.75430,2017-12-13.2510670,br,1.44,99.990,99.990,99.990,99.990,99.990,g
2458101.60265,2017-12-14.0994548,bj,1.69,17.803,17.741,0.207,0.291,0.055,g
2458101.60386,2017-12-14.1006664,bj,1.58,17.759,17.670,0.202,0.310,0.057,g
2458101.60507,2017-12-14.1018744,bj,1.68,17.870,17.565,0.165,0.342,0.052,g
2458101.74168,2017-12-14.2384914,br,1.44,17.750,17.515,0.176,0.358,0.058,g
2458101.74290,2017-12-14.2397140,br,1.57,17.729,17.181,0.132,0.487,0.059,g
2458101.74411,2017-12-14.2409285,br,1.46,17.641,17.028,0.124,0.561,0.064,g
2458102.44443,2017-12-14.9412883,bn,1.60,17.970,17.432,0.133,0.386,0.047,g
2458102.44565,2017-12-14.9425062,bn,1.65,18.039,17.574,0.143,0.339,0.044,g
2458102.44687,2017-12-14.9437206,bn,1.76,17.999,17.331,0.118,0.425,0.046,g
2458103.43613,2017-12-15.9330344,bn,2.41,17.771,17.173,0.126,0.491,0.057,g
2458103.43735,2017-12-15.9342542,bn,2.48,17.821,17.135,0.116,0.508,0.054,g
2458103.43856,2017-12-15.9354726,bn,2.43,17.746,17.011,0.111,0.570,0.058,g
2458103.76737,2017-12-16.2643009,br,1.68,17.563,17.080,0.140,0.535,0.069,g
2458103.76861,2017-12-16.2655432,br,1.65,17.658,17.123,0.134,0.514,0.063,g
2458103.76983,2017-12-16.2667589,br,1.59,17.595,16.928,0.118,0.615,0.067,g
2458104.43831,2017-12-16.9352771,bn,2.38,17.740,16.605,0.077,0.828,0.058,g
2458104.43952,2017-12-16.9364848,bn,2.34,17.743,16.707,0.084,0.754,0.058,g
2458104.44072,2017-12-16.9376878,bn,2.33,17.639,16.615,0.085,0.820,0.064,g
2458104.61899,2017-12-17.1159596,bj,1.75,17.609,17.077,0.134,0.536,0.066,g
2458104.62020,2017-12-17.1171763,bj,1.80,17.729,17.370,0.157,0.409,0.059,g
2458104.62142,2017-12-17.1183938,bj,1.71,17.761,17.363,0.152,0.412,0.057,g
2458105.61539,2017-12-18.1124246,bj,1.61,17.687,17.083,0.125,0.533,0.061,g
2458105.61661,2017-12-18.1136413,bj,1.82,17.841,17.162,0.117,0.496,0.053,g
2458105.61782,2017-12-18.1148589,bj,1.57,17.609,17.039,0.129,0.555,0.066,g
2458105.71649,2017-12-18.2135295,br,1.45,99.990,99.990,99.990,99.990,99.990,g
2458105.71769,2017-12-18.2147362,br,1.52,99.990,99.990,99.990,99.990,99.990,g
2458105.71891,2017-12-18.2159561,br,1.42,99.990,99.990,99.990,99.990,99.990,g
2458106.75387,2017-12-19.2509777,br,1.58,16.642,>16.642,99.990,0.196,0.160,g
2458106.75509,2017-12-19.2521928,br,1.51,99.990,99.990,99.990,99.990,99.990,g
2458107.42392,2017-12-19.9210634,bn,1.85,99.990,99.990,99.990,99.990,99.990,g
