HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2457077.74972,2015-02-24.2458151,ba,1.79,15.998,14.280,0.045,7.444,0.308,V
2457077.77134,2015-02-24.2674253,bb,2.03,16.128,14.216,0.038,7.896,0.273,V
2457077.77274,2015-02-24.2688290,bb,2.03,16.151,14.228,0.037,7.806,0.268,V
2457078.74300,2015-02-25.2391339,ba,1.69,15.811,14.208,0.050,7.960,0.365,V
2457078.74439,2015-02-25.2405251,ba,1.65,15.902,14.272,0.049,7.502,0.336,V
2457078.76912,2015-02-25.2652388,bb,2.02,16.164,14.314,0.040,7.216,0.265,V
2457078.77065,2015-02-25.2667726,bb,2.02,16.024,14.229,0.042,7.807,0.300,V
2457079.75760,2015-02-26.2537880,ba,1.64,15.761,14.492,0.068,6.128,0.382,V
2457079.75900,2015-02-26.2551878,ba,1.67,15.765,14.286,0.056,7.406,0.381,V
2457080.85085,2015-02-27.3470876,ba,1.61,15.649,14.261,0.061,7.576,0.423,V
2457080.85227,2015-02-27.3485126,ba,1.64,15.601,14.315,0.067,7.212,0.442,V
2457080.87033,2015-02-27.3665719,bb,1.67,15.824,14.171,0.048,8.228,0.361,V
2457080.87173,2015-02-27.3679733,bb,1.69,15.915,14.319,0.050,7.184,0.331,V
2457084.76421,2015-03-03.2606378,bb,1.68,14.536,>14.536,99.990,4.873,1.177,V
2457084.76561,2015-03-03.2620413,bb,2.03,99.990,99.990,99.990,99.990,99.990,V
2457084.78736,2015-03-03.2837975,ba,1.64,15.094,14.397,0.115,6.685,0.704,V
2457084.78876,2015-03-03.2851900,ba,1.67,15.281,14.121,0.075,8.617,0.593,V
2457088.79990,2015-03-07.2965363,bb,2.06,99.990,99.990,99.990,99.990,99.990,V
2457095.75410,2015-03-14.2511401,bb,1.99,16.146,14.252,0.038,7.647,0.269,V
2457095.75572,2015-03-14.2527604,bb,2.00,16.147,14.215,0.037,7.899,0.269,V
2457096.72972,2015-03-15.2268192,bb,1.69,15.948,14.194,0.044,8.057,0.322,V
2457096.73129,2015-03-15.2283930,bb,1.67,16.050,14.171,0.039,8.238,0.293,V
2457096.76252,2015-03-15.2596225,ba,1.64,16.051,14.318,0.044,7.186,0.293,V
2457096.76415,2015-03-15.2612531,ba,1.73,15.977,14.234,0.044,7.763,0.314,V
2457097.74576,2015-03-16.2429187,bc,1.56,16.339,14.256,0.032,7.614,0.225,V
2457097.74731,2015-03-16.2444752,bc,1.48,16.325,14.232,0.032,7.785,0.228,V
2457098.73314,2015-03-17.2303600,bb,2.06,99.990,99.990,99.990,99.990,99.990,V
2457098.73479,2015-03-17.2320072,bb,2.05,16.184,14.237,0.036,7.748,0.260,V
2457098.74284,2015-03-17.2400591,ba,1.65,16.131,14.282,0.040,7.436,0.272,V
2457098.74452,2015-03-17.2417438,ba,1.70,16.060,14.306,0.044,7.271,0.291,V
2457099.73287,2015-03-18.2305590,bb,2.25,15.971,14.283,0.046,7.425,0.315,V
2457099.73440,2015-03-18.2320886,bb,2.24,16.108,14.190,0.037,8.086,0.279,V
2457099.74568,2015-03-18.2433712,ba,2.08,15.926,14.235,0.046,7.762,0.328,V
2457099.74725,2015-03-18.2449371,ba,2.08,15.920,14.283,0.049,7.426,0.330,V
2457100.73639,2015-03-19.2341420,bb,2.15,16.153,14.219,0.037,7.873,0.267,V
2457100.73798,2015-03-19.2357311,bb,2.14,16.350,14.285,0.034,7.407,0.226,V
2457100.74297,2015-03-19.2407187,ba,2.03,16.079,14.231,0.040,7.790,0.285,V
2457100.74458,2015-03-19.2423329,ba,2.03,16.076,14.291,0.042,7.373,0.286,V
2457101.75244,2015-03-20.2502758,bb,2.04,16.301,14.279,0.034,7.450,0.233,V
2457101.75398,2015-03-20.2518192,bb,2.18,16.128,14.304,0.041,7.285,0.273,V
2457102.74004,2015-03-21.2379361,ba,1.99,15.938,14.254,0.047,7.626,0.325,V
2457102.74163,2015-03-21.2395263,ba,1.98,15.980,14.335,0.048,7.080,0.312,V
2457102.74644,2015-03-21.2443379,ba,1.66,16.042,14.306,0.044,7.272,0.295,V
2457102.74801,2015-03-21.2459049,ba,1.74,16.106,14.250,0.040,7.657,0.279,V
2457102.75954,2015-03-21.2574346,bb,2.04,16.252,14.245,0.035,7.691,0.244,V
2457102.76114,2015-03-21.2590341,bb,2.04,16.196,14.235,0.036,7.758,0.257,V
2457103.73407,2015-03-22.2320239,ba,2.08,15.840,14.314,0.054,7.216,0.355,V
2457103.73570,2015-03-22.2336618,ba,2.08,16.073,14.232,0.040,7.781,0.287,V
2457103.74068,2015-03-22.2386377,ba,2.05,15.910,14.262,0.048,7.574,0.333,V
2457103.74228,2015-03-22.2402362,ba,2.06,15.968,14.307,0.047,7.262,0.316,V
2457103.76014,2015-03-22.2580945,bb,2.14,16.159,14.285,0.039,7.408,0.266,V
2457103.76166,2015-03-22.2596252,bb,2.13,16.172,14.292,0.039,7.364,0.262,V
2457104.72061,2015-03-23.2186368,ba,2.23,14.782,14.204,0.129,7.986,0.939,V
2457104.72225,2015-03-23.2202723,ba,2.22,14.791,14.237,0.132,7.745,0.931,V
2457104.74371,2015-03-23.2417313,bb,2.21,16.151,14.243,0.038,7.704,0.268,V
2457104.74536,2015-03-23.2433834,bb,2.20,16.088,14.214,0.039,7.910,0.283,V
2457105.74008,2015-03-24.2381645,bb,2.40,16.355,14.211,0.030,7.934,0.223,V
2457105.74173,2015-03-24.2398265,bb,2.39,16.197,14.242,0.036,7.712,0.257,V
2457106.73397,2015-03-25.2321291,bb,2.20,16.093,14.278,0.041,7.458,0.282,V
2457106.73551,2015-03-25.2336708,bb,2.17,16.021,14.268,0.044,7.528,0.301,V
2457108.72764,2015-03-27.2259339,bb,2.23,15.642,14.314,0.065,7.214,0.426,V
2457108.72922,2015-03-27.2275128,bb,2.20,15.711,14.475,0.070,6.217,0.400,V
2457297.14129,2015-10-01.6428800,ba,1.67,15.229,14.455,0.108,6.335,0.622,V
2457297.14254,2015-10-01.6441326,ba,1.76,15.090,14.504,0.128,6.059,0.707,V
2457297.14379,2015-10-01.6453826,ba,1.72,15.094,14.381,0.114,6.783,0.704,V
2457304.12610,2015-10-08.6271980,ba,1.60,16.037,14.318,0.045,7.189,0.297,V
2457304.12736,2015-10-08.6284535,ba,1.67,15.996,14.278,0.045,7.460,0.309,V
2457304.12860,2015-10-08.6296909,ba,1.53,15.800,14.262,0.053,7.572,0.369,V
2457304.14505,2015-10-08.6461429,bb,1.78,15.393,14.381,0.086,6.786,0.535,V
2457304.14629,2015-10-08.6473891,bb,1.96,15.276,14.450,0.103,6.362,0.596,V
2457304.14754,2015-10-08.6486299,bb,1.98,15.120,14.301,0.103,7.306,0.688,V
2457308.13550,2015-10-12.6363011,bb,2.07,16.188,14.327,0.040,7.133,0.259,V
2457308.13675,2015-10-12.6375511,bb,2.07,16.103,14.229,0.039,7.805,0.280,V
2457308.13801,2015-10-12.6388082,bb,2.06,15.931,14.250,0.047,7.653,0.328,V
2457309.11988,2015-10-13.6206116,ba,1.69,15.965,14.387,0.051,6.745,0.317,V
2457309.12114,2015-10-13.6218653,ba,1.67,15.969,14.287,0.047,7.396,0.316,V
2457309.12239,2015-10-13.6231182,ba,1.67,16.162,14.303,0.040,7.290,0.265,V
2457314.11763,2015-10-18.6179896,bb,2.02,16.041,14.299,0.044,7.317,0.296,V
2457314.11890,2015-10-18.6192547,bb,2.04,16.151,14.222,0.037,7.858,0.268,V
2457314.12015,2015-10-18.6205040,bb,2.04,16.060,14.313,0.044,7.222,0.290,V
2457317.10144,2015-10-21.6015677,ba,1.61,15.772,14.291,0.056,7.372,0.379,V
2457317.10235,2015-10-21.6024840,ba,1.66,15.751,14.280,0.057,7.447,0.386,V
2457317.10332,2015-10-21.6034494,ba,1.59,15.684,14.422,0.069,6.532,0.410,V
2457319.12718,2015-10-23.6271623,bb,1.72,16.124,14.277,0.040,7.468,0.275,V
2457319.12844,2015-10-23.6284149,bb,1.97,16.131,14.307,0.041,7.259,0.273,V
2457319.12969,2015-10-23.6296656,bb,1.68,16.186,14.260,0.037,7.584,0.260,V
2457322.10811,2015-10-26.6078613,ba,1.67,15.257,14.425,0.102,6.515,0.607,V
2457322.10936,2015-10-26.6091140,ba,1.95,15.340,14.293,0.084,7.362,0.562,V
2457330.11878,2015-11-03.6179385,ba,1.67,15.882,14.167,0.045,8.261,0.342,V
2457330.12004,2015-11-03.6191972,ba,1.66,15.769,14.373,0.061,6.830,0.379,V
2457335.05330,2015-11-08.5520946,ba,1.98,15.986,14.259,0.045,7.594,0.311,V
2457335.05455,2015-11-08.5533474,ba,1.97,15.954,14.352,0.050,6.970,0.320,V
2457335.05581,2015-11-08.5546024,ba,2.00,15.908,14.228,0.047,7.809,0.334,V
2457335.07965,2015-11-08.5784420,bb,1.99,16.101,14.318,0.042,7.191,0.280,V
2457335.08089,2015-11-08.5796908,bb,2.00,16.056,14.282,0.043,7.428,0.291,V
2457335.08215,2015-11-08.5809489,bb,2.05,16.182,14.196,0.035,8.046,0.261,V
2457343.08429,2015-11-16.5825241,bb,2.11,15.786,14.254,0.053,7.631,0.374,V
2457343.08519,2015-11-16.5834190,bb,2.11,15.817,14.208,0.050,7.955,0.363,V
2457343.08608,2015-11-16.5843130,bb,2.09,15.822,14.350,0.057,6.982,0.361,V
2457350.01450,2015-11-23.5122649,ba,2.01,15.370,14.372,0.088,6.842,0.546,V
2457350.01574,2015-11-23.5135060,ba,2.00,15.456,14.312,0.077,7.233,0.505,V
2457350.01699,2015-11-23.5147611,ba,1.99,15.337,14.323,0.086,7.153,0.563,V
2457354.07460,2015-11-27.5721175,bb,2.01,15.005,14.416,0.128,6.567,0.765,V
2457354.07586,2015-11-27.5733712,bb,2.03,15.077,14.714,0.157,4.995,0.715,V
2457354.07711,2015-11-27.5746210,bb,2.03,15.256,14.239,0.086,7.730,0.607,V
2457357.03070,2015-11-30.5280391,bb,1.77,15.752,14.289,0.057,7.387,0.385,V
2457357.03196,2015-11-30.5292976,bb,1.97,15.881,14.171,0.045,8.235,0.343,V
2457357.03321,2015-11-30.5305479,bb,1.99,15.775,14.289,0.056,7.385,0.377,V
2457358.03794,2015-12-01.5352196,ba,1.64,15.689,14.275,0.060,7.484,0.408,V
2457358.03919,2015-12-01.5364699,ba,1.66,15.646,14.458,0.074,6.318,0.424,V
2457358.04045,2015-12-01.5377243,ba,1.67,15.641,14.389,0.069,6.730,0.426,V
2457359.01556,2015-12-02.5127883,bb,2.00,16.009,14.314,0.046,7.221,0.304,V
2457359.01687,2015-12-02.5140888,bb,1.99,16.098,14.159,0.037,8.317,0.281,V
2457359.01812,2015-12-02.5153412,bb,1.99,15.969,14.270,0.046,7.508,0.316,V
2457360.01197,2015-12-03.5091347,ba,1.71,15.908,14.357,0.053,6.933,0.334,V
2457360.01324,2015-12-03.5104017,ba,1.67,15.892,14.335,0.052,7.081,0.339,V
2457360.01448,2015-12-03.5116390,ba,1.59,15.926,14.290,0.049,7.373,0.329,V
2457361.03851,2015-12-04.5356203,bb,2.13,15.996,14.262,0.044,7.569,0.308,V
2457361.03976,2015-12-04.5368667,bb,2.10,16.041,14.240,0.042,7.723,0.296,V
2457361.04100,2015-12-04.5381045,bb,2.12,16.077,14.338,0.044,7.061,0.286,V
2457362.02756,2015-12-05.5246105,ba,1.77,16.035,14.285,0.044,7.409,0.297,V
2457362.02880,2015-12-05.5258533,ba,1.64,16.100,14.275,0.041,7.481,0.280,V
2457362.03008,2015-12-05.5271288,ba,1.69,16.043,14.290,0.044,7.378,0.295,V
2457364.05060,2015-12-07.5475472,bb,2.01,16.252,14.259,0.035,7.595,0.244,V
2457364.05186,2015-12-07.5488042,bb,2.01,16.133,14.307,0.041,7.263,0.273,V
2457364.05311,2015-12-07.5500542,bb,2.00,16.079,14.251,0.041,7.648,0.286,V
2457365.97157,2015-12-09.4684153,ba,2.06,15.809,14.284,0.054,7.418,0.365,V
2457365.97283,2015-12-09.4696712,ba,2.05,15.778,14.297,0.056,7.326,0.376,V
2457365.97408,2015-12-09.4709244,ba,2.06,15.774,14.370,0.060,6.853,0.377,V
2457368.96484,2015-12-12.4615344,ba,1.69,15.960,14.299,0.048,7.321,0.318,V
2457368.96609,2015-12-12.4627877,ba,1.71,15.977,14.245,0.044,7.688,0.314,V
2457368.96734,2015-12-12.4640416,ba,1.61,15.914,14.293,0.049,7.357,0.332,V
2457368.98777,2015-12-12.4844616,bb,1.64,16.091,14.220,0.039,7.873,0.283,V
2457368.98901,2015-12-12.4857025,bb,1.76,16.201,14.301,0.038,7.306,0.255,V
2457368.99028,2015-12-12.4869703,bb,1.71,16.120,14.226,0.038,7.830,0.276,V
2457375.00082,2015-12-18.4972431,bb,2.02,15.979,14.288,0.046,7.387,0.313,V
2457375.00207,2015-12-18.4984951,bb,2.00,16.035,14.264,0.043,7.557,0.297,V
2457375.00332,2015-12-18.4997519,bb,1.99,16.000,14.210,0.042,7.947,0.308,V
2457379.93456,2015-12-23.4307901,ba,1.68,15.244,14.304,0.092,7.287,0.614,V
2457379.93581,2015-12-23.4320460,ba,1.69,15.127,14.355,0.108,6.949,0.684,V
2457379.93706,2015-12-23.4332988,ba,1.63,15.287,14.383,0.095,6.773,0.590,V
2457380.95464,2015-12-24.4508425,bb,2.08,15.266,14.138,0.078,8.487,0.601,V
2457380.95591,2015-12-24.4521033,bb,2.09,15.447,14.226,0.071,7.823,0.509,V
2457380.95738,2015-12-24.4535790,bb,2.06,15.442,14.422,0.086,6.538,0.511,V
2457385.94079,2015-12-29.4368303,ba,2.01,15.481,14.273,0.072,7.497,0.494,V
2457385.94204,2015-12-29.4380837,ba,2.02,15.496,14.323,0.075,7.157,0.487,V
2457385.94330,2015-12-29.4393370,ba,2.04,15.400,14.349,0.083,6.992,0.532,V
2457386.96768,2015-12-30.4636974,bb,1.67,16.064,14.164,0.038,8.284,0.290,V
2457386.96894,2015-12-30.4649496,bb,1.97,15.872,14.281,0.051,7.436,0.345,V
2457386.97018,2015-12-30.4661960,bb,1.75,15.857,14.381,0.056,6.784,0.350,V
2457387.96428,2015-12-31.4602612,ba,1.70,15.912,14.257,0.048,7.603,0.333,V
2457387.96554,2015-12-31.4615224,ba,1.65,15.842,14.493,0.063,6.116,0.354,V
2457387.96679,2015-12-31.4627754,ba,1.68,15.750,14.375,0.062,6.822,0.386,V
2457388.98375,2016-01-01.4797120,bb,1.69,16.057,14.241,0.041,7.721,0.291,V
2457388.98501,2016-01-01.4809694,bb,1.65,16.060,14.287,0.043,7.398,0.291,V
2457388.98626,2016-01-01.4822210,bb,1.64,16.057,14.267,0.042,7.537,0.291,V
2457389.95414,2016-01-02.4500737,ba,1.67,16.053,14.265,0.042,7.552,0.293,V
2457389.95539,2016-01-02.4513252,ba,1.76,16.141,14.294,0.040,7.351,0.270,V
2457389.95663,2016-01-02.4525670,ba,1.73,15.996,14.292,0.046,7.361,0.308,V
2457390.95825,2016-01-03.4541660,bb,1.99,16.282,14.224,0.033,7.841,0.238,V
2457390.95950,2016-01-03.4554158,bb,1.75,16.240,14.309,0.037,7.252,0.246,V
2457390.96074,2016-01-03.4566583,bb,1.99,16.197,14.212,0.035,7.922,0.257,V
2457392.95158,2016-01-05.4474523,ba,1.69,15.953,14.257,0.046,7.600,0.320,V
2457392.95285,2016-01-05.4487194,ba,1.64,16.054,14.290,0.043,7.377,0.292,V
