ra,dec,sigra,sigdec,w1mpro,w1sigmpro,w1snr,w2mpro,w2sigmpro,w2snr,w3mpro,w3sigmpro,w3snr,w4mpro,w4sigmpro,w4snr,cc_flags,ph_qual,sso_flg,qual_frame,qi_fact,saa_sep,moon_masked,mjd,source_id,w1flux,w1sigflux,w2flux,w2sigflux,allwise_cntr,r_allwise
113.1421261,-20.0136032,0.1189,0.1366,12.149,0.031,35.1,12.08,0.037,29.2,11.537,,,7.609,,0.8,0000,AAUU,0,10,1.0,68.666,0000,55300.176539,03647a034-000774,2762.2,78.803,1014.9,34.736,,
113.1420809,-20.0135966,0.1103,0.1129,12.134,0.024,44.7,12.117,0.037,29.6,11.354,0.473,2.3,8.006,,,0000,AACU,0,10,1.0,88.711,0000,55300.242754,03649a061-000861,2801.3,62.711,980.5,33.131,,
113.1421064,-20.0136274,0.1127,0.1141,12.132,0.025,44.0,12.02,0.038,28.3,10.834,,1.7,7.303,,1.7,0000,AAUU,0,10,1.0,95.865,0000,55300.375059,03653a061-000907,2804.9,63.816,1072.3,37.953,,
113.1421034,-20.0136231,0.1076,0.1134,12.145,0.024,45.0,12.151,0.038,28.4,11.061,,1.0,7.151,,1.8,0000,AAUU,0,10,1.0,54.853,0000,55300.507363,03657a027-000799,2771.9,61.582,950.19,33.455,,
113.1421452,-20.0136141,0.1047,0.1064,12.127,0.024,45.1,12.084,0.035,31.4,11.075,0.35,3.1,7.558,,1.1,0000,AABU,0,10,1.0,13.703,0000,55300.639667,03661a061-000777,2818.3,62.484,1011.4,32.25,,
113.1420781,-20.0136298,0.0516,0.0524,12.134,0.023,47.0,12.128,0.035,31.0,,,,,,,0000,AAXX,0,10,1.0,101.771,0000,55490.790394,09409b218-000900,2878.6,61.26,1055.8,34.063,,
113.142102,-20.0135642,0.0542,0.0569,12.098,0.024,44.7,12.199,0.038,28.4,,,,,,,0000,AAXX,0,10,1.0,76.197,0000,55490.922698,09413b218-000818,2975.6,66.59,988.8,34.799,,
113.1420679,-20.0136375,0.0562,0.057,12.194,0.026,41.0,12.114,0.035,31.2,,,,,,,0000,AAXX,0,10,1.0,34.078,0000,55491.055002,09417b219-000860,2724.6,66.373,1069.2,34.298,,
113.1421076,-20.013577,0.0611,0.0581,12.158,0.029,37.2,12.047,0.035,31.3,,,,,,,0000,AAXX,0,10,1.0,3.591,0000,55491.187179,09421b218-000786,2815.2,75.691,1137.5,36.291,,
113.1421138,-20.0135867,0.0535,0.053,12.067,0.025,43.9,12.071,0.036,30.2,,,,,,,0000,AAXX,0,10,1.0,-4.704,0000,55491.253395,09424a194-000935,3062.3,69.68,1112.8,36.848,,
113.1420822,-20.0136483,0.0524,0.0522,12.201,0.023,46.5,12.165,0.038,28.7,,,,,,,0000,AAXX,0,10,1.0,-13.775,0000,55491.319483,09425b218-003470,2707.9,58.222,1020.5,35.568,,
113.1420949,-20.0133988,0.053,0.0606,12.421,0.026,41.1,12.089,0.033,33.2,,,,,,,0d00,AAXX,0,10,1.0,-10.676,0000,55491.385571,09428a193-003883,2211.1,53.757,1094.0,32.991,,
